Portfolio,Beta_DOL,Beta_CAR
P1CAR,0.9996620802823508,-0.39430869276739944
P2CAR,0.947174869315605,-0.1402361659434775
P3CAR,0.9980283472791088,-0.010262125988050458
P4CAR,1.0623954048176758,0.03825951763636406
P5CAR,0.9996620802823507,0.6056913072326019
P1VAL,1.047963124487161,-0.13660062450562938
P2VAL,1.1131371280860505,-0.12052071740110488
P3VAL,1.0165090440552453,-0.08587578041949975
P4VAL,0.887712725958667,0.025201252254438145
P5VAL,0.892729483544369,0.3856433842614079
P1M1M,1.0111822260034429,0.09609418116752494
P2M1M,1.0321644137634964,-0.017701903075020037
P3M1M,1.001796297761159,-0.049184412205854844
P4M1M,1.0088712270923053,-0.10502228756349608
P5M1M,0.9478440220706068,0.08403703391945828
P1M3M,0.9961643914914811,0.10157189164935064
P2M3M,1.0353682897652,-0.09593359827372194
P3M3M,1.0339643887200076,-0.06868049014786824
P4M3M,1.0067760657479126,-0.05143736087939348
P5M3M,0.9347297089234439,0.12865556104455797
P1M6M,1.0013070501845736,0.08760096594758066
P2M6M,1.0261130748734721,-0.050324447073951784
P3M6M,1.079661440301668,-0.09561626169811852
P4M6M,1.0118584757129034,-0.06949604097484091
P5M6M,0.8944137137260674,0.13547482358062995
P1M1Y,0.9972734356882522,0.09078023305356955
P2M1Y,1.0373617752164566,-0.10071069571845578
P3M1Y,1.0584287117828652,-0.08671780234625664
P4M1Y,1.039240161158498,-0.028219740831452046
P5M1Y,0.8824908533185942,0.13946801180209056
