Portfolio,Beta_DOL,Beta_CAR,Beta_d_log_vol
P1CAR,0.9990906556855897,-0.3981066341019641,-0.00017772129144035822
P2CAR,0.9484470170450019,-0.13782980190719796,0.0010655464189954244
P3CAR,1.002453717571369,0.0034659242399115928,0.003113394746425127
P4CAR,1.0577490488013015,0.02789921091352541,-0.0037177483685838153
P5CAR,0.9990906556855896,0.6018933658980367,-0.00017772129144035507
P1VAL,1.049091710107218,-0.13338655848855524,0.0008257756342970352
P2VAL,1.1172027439501742,-0.11043735911345402,0.0031403374633777567
P3VAL,1.017399020496559,-0.08345651525454237,0.0006639534924459269
P4VAL,0.8828864456975074,0.004523975598190587,-0.002763581604851061
P5VAL,0.8908715832235929,0.38747148031670015,-0.0021478256832446058
P1M1M,1.0053689821684917,0.07898660670610899,-0.004192341943475278
P2M1M,1.0270946137392076,-0.030842858732695197,-0.0038531829888609186
P3M1M,1.0081033760064695,-0.03288414117707929,0.004798831956554303
P4M1M,1.0183854810160426,-0.08153672478143327,0.007361262213562531
P5M1M,0.9434179164267058,0.07684683209266899,-0.0038382045273964494
P1M3M,0.9937232153700822,0.09801148243176441,-0.002161807730205406
P2M3M,1.0351982648240003,-0.09592379986367927,-0.00017911496794744135
P3M3M,1.0388811972108432,-0.06088209160444011,0.004284654723828058
P4M3M,1.0096945060956823,-0.04461228981065851,0.002299994023606136
P5M3M,0.9303608465812698,0.12216593663156873,-0.003855852236824938
P1M6M,1.0013862740634374,0.090141995546773,-0.00019845477777674848
P2M6M,1.0250985933930008,-0.05728390855344471,-0.00029151225611674615
P3M6M,1.0848281123017955,-0.08280725261496658,0.003991377482312574
P4M6M,1.0128371984056415,-0.06671516150707657,0.0007168306833969091
P5M6M,0.8891857783317448,0.12696918645846195,-0.00453210593710014
P1M1Y,0.9980295759123871,0.09554739456206389,0.00026379631363905327
P2M1Y,1.0393316982201948,-0.09607854122565936,0.0015496763069428668
P3M1Y,1.0621424760910585,-0.07759890949505563,0.0028787310685933097
P4M1Y,1.0408373636668216,-0.030329247689224584,0.0019060191238628706
P5M1Y,0.8737269741627276,0.12147444008010341,-0.00718377468820665
